,id,link,gia_tien,RAM,ROM,CPU,Man_hinh,camera_sau,camera_truoc,kich_thuoc,radio,thoi_diem ra mat,rating,ghi_am
163,228570,https://www.dienmayxanh.com/dien-thoai/itel-it6131,350.000₫ ,,,,TFT LCD,0.3 MP,,Dài 127 mm - Ngang 52.5 mm - Dày 10.3 mm,FM không cần tai nghe,09/2020,4.857142857142857,
164,77857,https://www.dienmayxanh.com/dien-thoai/mobell-m389,390.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 121.2 mm - Ngang 52 mm - Dày 13.7 mm,Có,6/2016,4.427272727272728,Có
165,215831,https://www.dienmayxanh.com/dien-thoai/itel-it2590,390.000₫ ,,,,TFT LCD,0.3 MP,,Dài 124 mm - Ngang 59 mm - Dày 14.3 mm,Có,12/2019,3.9583333333333335,Có
166,207957,https://www.dienmayxanh.com/dien-thoai/nokia-105-2019,360.000₫ ,,,,TFT LCD,,,Dài 111.9 mm - Ngang 49.2 mm - Dày 14.4 mm,Có,09/2019,3.7346938775510203,
167,210659,https://www.dienmayxanh.com/dien-thoai/itel-it5092,360.000₫ ,,,,,0.08 MP,,Dài 133.5 mm - Ngang 56.5 mm - Dày 16.9 mm,Có,09/2019,4.672413793103448,Có
168,211934,https://www.dienmayxanh.com/dien-thoai/nokia-105-single-sim-2019,350.000₫ ,,,,TFT LCD,,,Dài 111.9 mm - Ngang 49.2 mm - Dày 14.4 mm,Có,09/2019,3.2,
169,228569,https://www.dienmayxanh.com/dien-thoai/itel-it5071,400.000₫ ,,,,TFT LCD,0.08 MP,,Dài 131.5 mm - Ngang 55 mm - Dày 13.5 mm,FM không cần tai nghe,09/2020,4.615384615384615,
170,226346,https://www.dienmayxanh.com/dien-thoai/masstel-izi-230,360.000₫ ,,,,TFT LCD,0.08 MP,,Dài 125 mm - Ngang 53 mm - Dày 13.3 mm,FM không cần tai nghe,07/2020,3.75,Có
171,212190,https://www.dienmayxanh.com/dien-thoai/masstel-izi-206,290.000₫ ,,,,TFT LCD,0.08 MP,,Dài 126 mm - Ngang 52.6 mm - Dày 13.5 mm,Có,10/2019,4.5,Có
172,139913,https://www.dienmayxanh.com/dien-thoai/mobell-m339,290.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 122.4 mm - Ngang 52.5 mm - Dày 13.5 mm,Có,11/2017,4.0,Có
173,200045,https://www.dienmayxanh.com/dien-thoai/itel-it6120,290.000₫ ,,,,TFT LCD,0.3 MP,,Dài 128 mm - Ngang 54 mm - Dày 11.5 mm,Có,03/2019,3.736842105263158,Có
174,227005,https://www.dienmayxanh.com/dien-thoai/energizer-e12,350.000₫ ,,,,TFT LCD,QVGA (320 x 240 pixels),VGA (0.3 MP),Dài 117 mm - Ngang 51 mm - Dày 15 mm,Có,08/2020,3.6666666666666665,
175,204423,https://www.dienmayxanh.com/dien-thoai/itel-it5025,280.000₫ ,,,,TFT LCD,0.3 MP,,Dài 118.5 mm - Ngang 52.5 mm - Dày 12.6 mm,Có,06/2019,3.8095238095238093,Có
176,220181,https://www.dienmayxanh.com/dien-thoai/masstel-izi-200,260.000₫ ,,,,TFT LCD,0.08 MP,,Dài 126 mm - Ngang 53 mm - Dày 13.1 mm,Có,05/2020,4.5,
177,204125,https://www.dienmayxanh.com/dien-thoai/itel-it2171,200.000₫ ,,,,TFT LCD,0.3 MP,,Dài 115.5 mm - Ngang 49.2 mm - Dày 14.3 mm,Có,03/2019,3.8461538461538463,
178,212189,https://www.dienmayxanh.com/dien-thoai/masstel-izi-112,210.000₫ ,,,,TFT LCD,,,Dài 115.6 mm - Ngang 48.5 mm - Dày 14.3 mm,Có,10/2019,3.6666666666666665,Có
179,203509,https://www.dienmayxanh.com/dien-thoai/mobell-m229-2019,190.000₫ ,,,,TFT LCD,0.8 MP,,Dài 113.9 mm - Ngang 47.9 mm - Dày 14.1 mm,Có,05/2019,3.5217391304347827,
180,214765,https://www.dienmayxanh.com/dien-thoai/masstel-izi-120,200.000₫ ,,,,TFT LCD,,,Dài 113 mm - Ngang 47.6 mm - Dày 14.5 mm,Có,11/2019,3.3333333333333335,Có
181,211009,https://www.dienmayxanh.com/dien-thoai/itel-value-100,190.000₫ ,,,,TFT LCD,,,Dài 115 mm - Ngang 49.5 mm - Dày 14.2 mm,Có,09/2019,4.220779220779221,Có
182,85984,https://www.dienmayxanh.com/dien-thoai/mobell-m228,170.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 112.5 mm - Ngang 48.5 mm - Dày 13.7 mm,Có,9/2016,4.601423487544484,
